Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Schloß Haus	Ga  H1	546	3.d		Oberösterreich
Schlüßlberg	Wa  H1	2366	3.d		Oberösterreich
Schönberg am Kamp	Sbk	1948	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Schönborn-Mallebarn	Si  H2	2014	3.d		Niederösterreich
Schönfeld-Lassee	Sfl	1995	3.c		Niederösterreich
Schönwies	Ss	2079	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Tirol
Schrambach	Shr	493	3.d		Niederösterreich
Schützen am Gebirge	Sag	1933	3.d		Burgenland
Schützen Ruster Straße	Sag H1	1779	3.d		Burgenland
Schwanenstadt	Sas	1936	3.c		Oberösterreich
Schwarzach in Vorarlberg	Do  H2	287	3.d		Vorarlberg
Schwarzach-St.Veit	Swa	2169	3.c		Salzburg
Schwarzenau	Swu	2179	3.d		Niederösterreich
Schwarzsee	Kzb H2	1122	3.d		Tirol
Schwaz	Sw	2160	3.c		Tirol
Schwechat	Gs	711	3.c		Niederösterreich
Schwertberg	Swb	2173	3.d		Oberösterreich
Sebersdorf	Seb	1972	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Steiermark
Seebenstein	Ses	1989	3.d		Niederösterreich
Seefeld in Tirol	Set	1991	3.c		Tirol
Seekirchen am Wallersee	See	1976	3.d		Salzburg
Seekirchen Stadt	See H1H	5012185	3.c		Salzburg
Selzthal	Sl	2023	3.c		Steiermark
Semmering	Sem	1984	3.d		Niederösterreich
Seyring	Gef H2	572	3.d		Niederösterreich
Siebenbrunn-Leopoldsdorf	Sbl	1950	3.c		Niederösterreich
Siebenhirten	Mb  H2H	1371	3.d		Niederösterreich
Siebenmühlen-Rosenau	Lng H2	1251	3.d		Oberösterreich
Siemensstraße	F   H1	399	3.c		Wien
Sierndorf	Si	2012	3.d		Niederösterreich
Sierndorf a.d.March	Due H2	303	3.d		Niederösterreich
Sigmundsherberg	Sh	2009	3.d		Niederösterreich
Silberwald	Str H1	2126	3.c		Niederösterreich
Sillian	Sil	2015	3.d		Tirol
Silz	Siz	2018	3.d		Tirol
Sitzenberg-Reidling	Mos H2H	1450	3.d		Niederösterreich
Skiflugschanze Kulm	Ku  H1	1106	3.d	Halt in der Verkehrsstation wird nur im Rahmen von Großveranstaltungen angeboten	Steiermark
Söchau	Sou	2051	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Steiermark
Söding-Mooskirchen	Smk	2032	3.d		Steiermark
Sollenau	Lb  H1	1240760	3.d		Niederösterreich
Sölling	Pus H1	1783	3.d		Niederösterreich
Sonntagberg	Hk  H2	1888	3.d		Niederösterreich
Spielberg	Kd  H1	1013	3.d	Halt in der Verkehrsstation wird nur im Rahmen von Großveranstaltungen angeboten. Ab Netzfahrplanperiode 2027 wird die Station voraussichtlich nicht mehr angeboten.	Steiermark
Spielfeld-Straß	Sd	1966	3.d		Steiermark
Spillern	Ko  H2	1074	3.d		Niederösterreich
Spital am Pyhrn	Spi	2066	3.d		Oberösterreich
Spital am Semmering	Sps	2072	3.d		Steiermark
Spittal-Millstättersee	Stt	2131	3.c		Kärnten
St.Paul im Lavanttal	Lav	5705364	3.c		Kärnten
St.Pölten Bildungscampus	Spr H3	5743597	3.d		Niederösterreich
St.Andrä im Lavanttal	An	64	3.d		Kärnten
St.Andrä-Wördern	Aw	100	3.c		Niederösterreich
St.Anton am Arlberg	Ao	71	3.c		Tirol
St.Egyden	Nb  H1S	333	3.d		Niederösterreich
St.Georgen a.d.Gusen	Sge	1999	3.c		Oberösterreich
St.Georgen a.d.Gusen Ort	Sge H1	2000	3.d		Oberösterreich
St.Georgen a.d.Mattig	Mau H1	1366	3.d		Oberösterreich
St.Georgen am Längsee	Lad H1	1134	3.d		Kärnten
St.Georgen am Steinfelde	Wm  H1	2485	3.d		Niederösterreich
St.Georgen ob Judenburg	Tel H1	2212	3.d		Steiermark
St.Jodok	Sti H1	2110	3.d		Tirol
St.Johann i.d.Haide	Gd  H1	972	3.d		Steiermark
St.Johann im Pongau	Jp	973	3.d		Salzburg
St.Johann in Tirol	Jti	978	3.c		Tirol
St.Johann-Weistrach	Spw H1	2055	3.d		Niederösterreich
St.Marein-St.Lorenzen	Mas	1342	3.d		Steiermark
St.Martin bei Traun	Wd  H1	2399	3.d		Oberösterreich
St.Martin i.S.-Bergla	Bgl	156	3.d		Steiermark
St.Martin im Innkreis	Mn	1439	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
St.Martin-Sittich	Sms	2036	3.d		Kärnten
St.Michael	M	1304	3.c		Steiermark
St.Michael ob Bleiburg/Smihel nad Pliberkom	Ble H1	175	3.d		Kärnten
St.Nikola-Struden	Nk	1555	3.d		Oberösterreich
St.Pantaleon Pyburg	Mh  H1	1405	3.d		Oberösterreich
St.Peter im Sulmtal	Dlb H3	2176	3.d		Steiermark
St.Peter-Seitenstetten	Sp	2054	3.c		Niederösterreich
St.Pölten Hbf	Pb	1669	3.b		Niederösterreich
St.Pölten Traisenpark	Vn  H1	1253979	3.d		Niederösterreich
St.Pölten-Kaiserwald	Pl	1714	3.d		Niederösterreich
St.Pölten-Porschestraße	Spr H2	2070	3.d		Niederösterreich
St.Stefan im Lavanttal	Ssl	2082	3.d		Kärnten
St.Stefan-Vorderberg	Ssv	2089	3.d		Kärnten
St.Urban am Ossiachersee	Oi  H1	1619	3.d		Kärnten
St.Valentin	Sv	2150	3.c		Niederösterreich
St.Veit a.d.Glan	Vps	2345	3.c		Kärnten
St.Veit a.d.Glan-West	Vs	2352	3.d		Kärnten
St.Veit a.d.Gölsen	Br  H2	2317	3.d		Niederösterreich
St.Veit a.d.Triesting	Ez  H2	397	3.d		Niederösterreich
Staatz	Enz K1	375	3.d		Niederösterreich
